celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week1_judge_score_sum,week1_judge_count,week1_judge_score_avg,week1_judge_score_avg_rank,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week2_judge_score_sum,week2_judge_count,week2_judge_score_avg,week2_judge_score_avg_rank,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week3_judge_score_sum,week3_judge_count,week3_judge_score_avg,week3_judge_score_avg_rank,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week4_judge_score_sum,week4_judge_count,week4_judge_score_avg,week4_judge_score_avg_rank,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week5_judge_score_sum,week5_judge_count,week5_judge_score_avg,week5_judge_score_avg_rank,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week6_judge_score_sum,week6_judge_count,week6_judge_score_avg,week6_judge_score_avg_rank,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week7_judge_score_sum,week7_judge_count,week7_judge_score_avg,week7_judge_score_avg_rank,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week8_judge_score_sum,week8_judge_count,week8_judge_score_avg,week8_judge_score_avg_rank,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week9_judge_score_sum,week9_judge_count,week9_judge_score_avg,week9_judge_score_avg_rank,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week10_judge_score_sum,week10_judge_count,week10_judge_score_avg,week10_judge_score_avg_rank,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,week11_judge_score_sum,week11_judge_count,week11_judge_score_avg,week11_judge_score_avg_rank
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,8,6,8,N/A,22,3,7.3333,4,9,10,10,N/A,29,3,9.6667,1,9,9,9,N/A,27,3,9,1,8,9,9,N/A,26,3,8.6667,2,10,10,10,N/A,30,3,10,1,10,10,10,N/A,30,3,10,1,9,9,9.5,N/A,27.5,3,9.1667,1,9.3333,9.6666,9.6666,N/A,28.6665,3,9.5555,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,7,7,7,N/A,21,3,7,5,7,8,8,N/A,23,3,7.6667,4,7,6,6,N/A,19,3,6.3333,7,8,8,8,N/A,24,3,8,5,7,8,8,N/A,23,3,7.6667,5,8,7,8,N/A,23,3,7.6667,4,7,7,6.5,N/A,20.5,3,6.8333,4,9,9,8.6666,N/A,26.666600000000003,3,8.8889,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Giselle Fernandez,Jonathan Roberts,News Anchor,Mexico,Mexico,44,2,Eliminated Week 3,8,7,8,8,N/A,23,3,7.6667,2,8,8,8,N/A,24,3,8,3,7,8,7,N/A,22,3,7.3333,5,0,0,0,N/A,0,3,0,8,0,0,0,N/A,0,3,0,7,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,4,4,4,N/A,12,3,4,10,6,5,5,N/A,16,3,5.3333,9,6,4,4,N/A,14,3,4.6667,8,4,2,2,N/A,8,3,2.6667,7,0,0,0,N/A,0,3,0,7,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,8,8,8,N/A,24,3,8,1,9,9,9,N/A,27,3,9,2,9,9,9,N/A,27,3,9,1,9,9,10,N/A,28,3,9.3333,1,9,9,9,N/A,27,3,9,2,10,10,10,N/A,30,3,10,1,9.5,9,9,N/A,27.5,3,9.1667,1,9.6666,9.6666,9.6666,N/A,28.9998,3,9.6666,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,4,5,4,N/A,13,3,4.3333,9,0,0,0,N/A,0,3,0,10,0,0,0,N/A,0,3,0,9,0,0,0,N/A,0,3,0,8,0,0,0,N/A,0,3,0,7,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,5,6,6,N/A,17,3,5.6667,8,7,7,7,N/A,21,3,7,7,7,8,7,N/A,22,3,7.3333,4,0,0,0,N/A,0,3,0,9,0,0,0,N/A,0,3,0,8,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4,0,0,0,N/A,0,3,0,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,Eliminated Week 4,8,6,8,8,N/A,22,3,7.3333,3,8,8,8,N/A,24,3,8,3,9,9,9,N/A,27,3,9,1,8,8,8,N/A,24,3,8,4,0,0,0,N/A,0,3,0,8,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4,0,0,0,N/A,0,3,0,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,6,6,7,N/A,19,3,6.3333,6,9,8,9,N/A,26,3,8.6667,2,9,9,9,N/A,27,3,9,1,8,8,8,N/A,24,3,8,4,9,9,9,N/A,27,3,9,1,9,7,7,N/A,23,3,7.6667,4,9,9,9,N/A,27,3,9,4,8.5,9,9,N/A,26.5,3,8.8333,4,0,0,0,N/A,0,3,0,4,0,0,0,N/A,0,3,0,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,7,7,7,N/A,21,3,7,5,10,9,10,N/A,29,3,9.6667,1,8,6,8,N/A,22,3,7.3333,4,9,9,9,N/A,27,3,9,3,8,8,9,N/A,25,3,8.3333,5,8,8,8,N/A,24,3,8,3,9.5,9,10,N/A,28.5,3,9.5,1,9.5,8.5,9,N/A,27,3,9,2,9.5,10,10,N/A,29.5,3,9.8333,1,0,0,0,N/A,0,3,0,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,9,8,9,N/A,26,3,8.6667,1,7,6,8,N/A,21,3,7,7,8,6,8,N/A,22,3,7.3333,4,10,9,10,N/A,29,3,9.6667,1,9,9,9,N/A,27,3,9,1,9,9,10,N/A,28,3,9.3333,1,9.5,9,9.5,N/A,28,3,9.3333,3,9.5,9,10,N/A,28.5,3,9.5,1,10,9.5,10,N/A,29.5,3,9.8333,1,10,10,9.6666,N/A,29.666600000000003,3,9.8889,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,8,8,8,N/A,24,3,8,2,8,8,8,N/A,24,3,8,3,7,6,6,N/A,19,3,6.3333,9,8,8,8,N/A,24,3,8,4,9,9,9,N/A,27,3,9,1,8,8,9,N/A,25,3,8.3333,2,10,9.5,9,N/A,28.5,3,9.5,1,8.5,9,9.5,N/A,27,3,9,2,9.5,10,10,N/A,29.5,3,9.8333,1,10,9.6666,10,N/A,29.666600000000003,3,9.8889,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,Eliminated Week 2,10,7,5,6,N/A,18,3,6,7,8,7,7,N/A,22,3,7.3333,6,0,0,0,N/A,0,3,0,10,0,0,0,N/A,0,3,0,9,0,0,0,N/A,0,3,0,8,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4,0,0,0,N/A,0,3,0,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,7,7,8,N/A,22,3,7.3333,3,7,8,8,N/A,23,3,7.6667,5,7,7,8,N/A,22,3,7.3333,4,9,9,10,N/A,28,3,9.3333,2,9,9,9,N/A,27,3,9,1,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4,0,0,0,N/A,0,3,0,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,5,5,5,N/A,15,3,5,10,7,7,7,N/A,21,3,7,7,8,9,8,N/A,25,3,8.3333,3,6,7,7,N/A,20,3,6.6667,8,8,8,8,N/A,24,3,8,6,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4,0,0,0,N/A,0,3,0,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jerry Springer,Kym Johnson,TV Personality,England,England,62,3,Eliminated Week 7,5,5,5,6,N/A,16,3,5.3333,9,7,6,6,N/A,19,3,6.3333,10,7,7,7,N/A,21,3,7,8,7,7,8,N/A,22,3,7.3333,7,8,8,8,N/A,24,3,8,6,7,6,5,N/A,18,3,6,5,7.5,8,7.5,N/A,23,3,7.6667,5,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4,0,0,0,N/A,0,3,0,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,Eliminated Week 1,11,5,4,3,N/A,12,3,4,11,0,0,0,N/A,0,3,0,11,0,0,0,N/A,0,3,0,10,0,0,0,N/A,0,3,0,9,0,0,0,N/A,0,3,0,8,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4,0,0,0,N/A,0,3,0,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,Eliminated Week 7,6,6,5,6,N/A,17,3,5.6667,8,7,7,7,N/A,21,3,7,6,7,6,7,N/A,20,3,6.6667,9,6,5,5,N/A,16,3,5.3333,7,6,6,6,N/A,18,3,6,6,7,6,6,N/A,19,3,6.3333,7,7.5,7.5,7.5,N/A,22.5,3,7.5,5,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,Eliminated Week 9,4,7,7,7,N/A,21,3,7,3,7,8,7,N/A,22,3,7.3333,5,8,8,8,N/A,24,3,8,1,7,9,8,N/A,24,3,8,3,8,8,8,N/A,24,3,8,4,8,8,8,N/A,24,3,8,4,9,9,9,N/A,27,3,9,3,8,7.5,8,N/A,23.5,3,7.8333,4,9.5,10,9.5,N/A,29,3,9.6667,4,0,0,0,N/A,0,3,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,Eliminated Week 5,8,6,5,5,N/A,16,3,5.3333,9,6,6,6,N/A,18,3,6,11,6,5,5,N/A,16,3,5.3333,10,6,4,5,N/A,15,3,5,9,4,5,4,N/A,13,3,4.3333,8,0,0,0,N/A,0,3,0,8,0,0,0,N/A,0,3,0,7,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3rd Place,3,7,8,8,N/A,23,3,7.6667,2,9,9,9,N/A,27,3,9,1,7,7,7,N/A,21,3,7,6,7,7,7,N/A,21,3,7,5,9,10,9,N/A,28,3,9.3333,2,9,9,10,N/A,28,3,9.3333,1,10,9.5,10,N/A,29.5,3,9.8333,1,9,8.5,9,N/A,26.5,3,8.8333,3,10,10,10,N/A,30,3,10,1,9.6666,9,9.6666,N/A,28.333200000000005,3,9.4444,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1st Place,1,7,7,7,N/A,21,3,7,3,8,9,9,N/A,26,3,8.6667,2,7,8,8,N/A,23,3,7.6667,5,9,8,9,N/A,26,3,8.6667,2,10,10,10,N/A,30,3,10,1,9,9,10,N/A,28,3,9.3333,1,9,8.5,9.5,N/A,27,3,9,3,10,9,10,N/A,29,3,9.6667,1,10,9.5,10,N/A,29.5,3,9.8333,3,9.6666,9.6666,10,N/A,29.3332,3,9.7777,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,4,Eliminated Week 3,10,6,6,7,N/A,19,3,6.3333,5,6,7,7,N/A,20,3,6.6667,10,7,7,7,N/A,21,3,7,6,0,0,0,N/A,0,3,0,10,0,0,0,N/A,0,3,0,9,0,0,0,N/A,0,3,0,8,0,0,0,N/A,0,3,0,7,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Paulina Porizkova,Alec Mazo,Model,Czechoslovakia,Czechoslovakia,41,4,Eliminated Week 2,11,6,6,7,N/A,19,3,6.3333,5,7,7,7,N/A,21,3,7,6,0,0,0,N/A,0,3,0,11,0,0,0,N/A,0,3,0,10,0,0,0,N/A,0,3,0,9,0,0,0,N/A,0,3,0,8,0,0,0,N/A,0,3,0,7,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Heather Mills,Jonathan Roberts,Model,England,England,39,4,Eliminated Week 6,7,6,6,6,N/A,18,3,6,7,8,8,8,N/A,24,3,8,3,8,8,8,N/A,24,3,8,1,7,8,8,N/A,23,3,7.6667,4,7,7,7,N/A,21,3,7,5,7,8,8,N/A,23,3,7.6667,5,0,0,0,N/A,0,3,0,7,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,4,Eliminated Week 8,5,5,4,4,N/A,13,3,4.3333,11,7,7,7,N/A,21,3,7,6,7,7,7,N/A,21,3,7,6,7,7,7,N/A,21,3,7,5,6,6,5,N/A,17,3,5.6667,7,7,7,7,N/A,21,3,7,6,6,6.5,6.5,N/A,19,3,6.3333,6,6.5,6.5,6,N/A,19,3,6.3333,5,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,4,2nd Place,2,8,8,8,N/A,24,3,8,1,8,8,8,N/A,24,3,8,3,8,8,8,N/A,24,3,8,1,10,9,9,N/A,28,3,9.3333,1,8,8,9,N/A,25,3,8.3333,3,9,9,9,N/A,27,3,9,3,10,9.5,10,N/A,29.5,3,9.8333,1,9.5,9,9,N/A,27.5,3,9.1667,2,10,10,10,N/A,30,3,10,1,9.6666,9.3333,9.6666,N/A,28.6665,3,9.5555,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,4,Eliminated Week 4,9,5,5,5,N/A,15,3,5,10,7,7,7,N/A,21,3,7,6,8,8,8,N/A,24,3,8,1,6,5,5,N/A,16,3,5.3333,7,0,0,0,N/A,0,3,0,9,0,0,0,N/A,0,3,0,8,0,0,0,N/A,0,3,0,7,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cameron Mathison,Edyta Sliwinska,Actor/Actress,Canada,Canada,38,5,Eliminated Week 8,5,7,7,7,N/A,21,3,7,5,7,7,7,N/A,21,3,7,5,8,7,8,N/A,23,3,7.6667,7,9,9,9,N/A,27,3,9,2,8,9,9,N/A,26,3,8.6667,3,9,8,8,N/A,25,3,8.3333,4,8.5,8.5,8.5,N/A,25.5,3,8.5,5,8.5,8.5,8.5,N/A,25.5,3,8.5,3,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jane Seymour,Tony Dovolani,Actor/Actress,England,England,56,5,Eliminated Week 7,6,8,8,8,N/A,24,3,8,3,7,7,7,N/A,21,3,7,5,9,9,9,N/A,27,3,9,1,8,9,9,N/A,26,3,8.6667,5,8,9,9,N/A,26,3,8.6667,3,8,7,7,N/A,22,3,7.3333,7,8,8.5,8.5,N/A,25,3,8.3333,6,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,5,Eliminated Week 6,7,9,8,9,N/A,26,3,8.6667,1,9,8,9,N/A,26,3,8.6667,2,9,9,9,N/A,27,3,9,1,10,10,10,N/A,30,3,10,1,9,9,10,N/A,28,3,9.3333,2,9,8,8,N/A,25,3,8.3333,4,0,0,0,N/A,0,3,0,7,0,0,0,N/A,0,3,0,6,0,0,0,N/A,0,3,0,5,0,0,0,N/A,0,3,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
