celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,week1_judge_score_sum,week1_judge_count,week1_judge_score_avg,week1_judge_score_avg_rank,week2_judge_score_sum,week2_judge_count,week2_judge_score_avg,week2_judge_score_avg_rank,week3_judge_score_sum,week3_judge_count,week3_judge_score_avg,week3_judge_score_avg_rank,week4_judge_score_sum,week4_judge_count,week4_judge_score_avg,week4_judge_score_avg_rank,week5_judge_score_sum,week5_judge_count,week5_judge_score_avg,week5_judge_score_avg_rank,week6_judge_score_sum,week6_judge_count,week6_judge_score_avg,week6_judge_score_avg_rank,week7_judge_score_sum,week7_judge_count,week7_judge_score_avg,week7_judge_score_avg_rank,week8_judge_score_sum,week8_judge_count,week8_judge_score_avg,week8_judge_score_avg_rank,week9_judge_score_sum,week9_judge_count,week9_judge_score_avg,week9_judge_score_avg_rank,week10_judge_score_sum,week10_judge_count,week10_judge_score_avg,week10_judge_score_avg_rank,week11_judge_score_sum,week11_judge_count,week11_judge_score_avg,week11_judge_score_avg_rank
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,8.0,6.0,8.0,,9.0,10.0,10.0,,9.0,9.0,9.0,,8.0,9.0,9.0,,10.0,10.0,10.0,,10.0,10.0,10.0,,9.0,9.0,9.5,,9.3333,9.6666,9.6666,,,,,,,,,,,,,,22.0,3,7.333333333333333,4,29.0,3,9.666666666666666,1,27.0,3,9.0,1,26.0,3,8.666666666666666,2,30.0,3,10.0,1,30.0,3,10.0,1,27.5,3,9.166666666666666,1,28.6665,3,9.5555,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,7.0,7.0,7.0,,7.0,8.0,8.0,,7.0,6.0,6.0,,8.0,8.0,8.0,,7.0,8.0,8.0,,8.0,7.0,8.0,,7.0,7.0,6.5,,9.0,9.0,8.6666,,,,,,,,,,,,,,21.0,3,7.0,5,23.0,3,7.666666666666667,4,19.0,3,6.333333333333333,7,24.0,3,8.0,5,23.0,3,7.666666666666667,5,23.0,3,7.666666666666667,4,20.5,3,6.833333333333333,4,26.666600000000003,3,8.888866666666667,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,7.0,8.0,8.0,,8.0,8.0,8.0,,7.0,8.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,23.0,3,7.666666666666667,2,24.0,3,8.0,3,22.0,3,7.333333333333333,5,0.0,3,0.0,8,0.0,3,0.0,7,0.0,3,0.0,6,0.0,3,0.0,5,0.0,3,0.0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,4.0,4.0,4.0,,6.0,5.0,5.0,,6.0,4.0,4.0,,4.0,2.0,2.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,12.0,3,4.0,10,16.0,3,5.333333333333333,9,14.0,3,4.666666666666667,8,8.0,3,2.6666666666666665,7,0.0,3,0.0,7,0.0,3,0.0,6,0.0,3,0.0,5,0.0,3,0.0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,8.0,8.0,8.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,9.0,10.0,,9.0,9.0,9.0,,10.0,10.0,10.0,,9.5,9.0,9.0,,9.6666,9.6666,9.6666,,,,,,,,,,,,,,24.0,3,8.0,1,27.0,3,9.0,2,27.0,3,9.0,1,28.0,3,9.333333333333334,1,27.0,3,9.0,2,30.0,3,10.0,1,27.5,3,9.166666666666666,1,28.9998,3,9.6666,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,4.0,5.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,13.0,3,4.333333333333333,9,0.0,3,0.0,10,0.0,3,0.0,9,0.0,3,0.0,8,0.0,3,0.0,7,0.0,3,0.0,6,0.0,3,0.0,5,0.0,3,0.0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,5.0,6.0,6.0,,7.0,7.0,7.0,,7.0,8.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,17.0,3,5.666666666666667,8,21.0,3,7.0,7,22.0,3,7.333333333333333,4,0.0,3,0.0,9,0.0,3,0.0,8,0.0,3,0.0,6,0.0,3,0.0,6,0.0,3,0.0,5,0.0,3,0.0,4,0.0,3,0.0,3,N/A,N/A,N/A,N/A
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,Eliminated Week 4,8,6.0,8.0,8.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,22.0,3,7.333333333333333,3,24.0,3,8.0,3,27.0,3,9.0,1,24.0,3,8.0,4,0.0,3,0.0,8,0.0,3,0.0,6,0.0,3,0.0,6,0.0,3,0.0,5,0.0,3,0.0,4,0.0,3,0.0,3,N/A,N/A,N/A,N/A
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,6.0,6.0,7.0,,9.0,8.0,9.0,,9.0,9.0,9.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,9.0,7.0,7.0,,9.0,9.0,9.0,,8.5,9.0,9.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,19.0,3,6.333333333333333,6,26.0,3,8.666666666666666,2,27.0,3,9.0,1,24.0,3,8.0,4,27.0,3,9.0,1,23.0,3,7.666666666666667,4,27.0,3,9.0,4,26.5,3,8.833333333333334,4,0.0,3,0.0,4,0.0,3,0.0,3,N/A,N/A,N/A,N/A
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,7.0,7.0,7.0,,10.0,9.0,10.0,,8.0,6.0,8.0,,9.0,9.0,9.0,,8.0,8.0,9.0,,8.0,8.0,8.0,,9.5,9.0,10.0,,9.5,8.5,9.0,,9.5,10.0,10.0,,0.0,0.0,0.0,,,,,,21.0,3,7.0,5,29.0,3,9.666666666666666,1,22.0,3,7.333333333333333,4,27.0,3,9.0,3,25.0,3,8.333333333333334,5,24.0,3,8.0,3,28.5,3,9.5,1,27.0,3,9.0,2,29.5,3,9.833333333333334,1,0.0,3,0.0,3,N/A,N/A,N/A,N/A
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,9.0,8.0,9.0,,7.0,6.0,8.0,,8.0,6.0,8.0,,10.0,9.0,10.0,,9.0,9.0,9.0,,9.0,9.0,10.0,,9.5,9.0,9.5,,9.5,9.0,10.0,,10.0,9.5,10.0,,10.0,10.0,9.6666,,,,,,26.0,3,8.666666666666666,1,21.0,3,7.0,7,22.0,3,7.333333333333333,4,29.0,3,9.666666666666666,1,27.0,3,9.0,1,28.0,3,9.333333333333334,1,28.0,3,9.333333333333334,3,28.5,3,9.5,1,29.5,3,9.833333333333334,1,29.666600000000003,3,9.888866666666667,1,N/A,N/A,N/A,N/A
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,8.0,8.0,8.0,,8.0,8.0,8.0,,7.0,6.0,6.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,8.0,9.0,,10.0,9.5,9.0,,8.5,9.0,9.5,,9.5,10.0,10.0,,10.0,9.6666,10.0,,,,,,24.0,3,8.0,2,24.0,3,8.0,3,19.0,3,6.333333333333333,9,24.0,3,8.0,4,27.0,3,9.0,1,25.0,3,8.333333333333334,2,28.5,3,9.5,1,27.0,3,9.0,2,29.5,3,9.833333333333334,1,29.666600000000003,3,9.888866666666667,1,N/A,N/A,N/A,N/A
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,Eliminated Week 2,10,7.0,5.0,6.0,,8.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,18.0,3,6.0,7,22.0,3,7.333333333333333,6,0.0,3,0.0,10,0.0,3,0.0,9,0.0,3,0.0,8,0.0,3,0.0,6,0.0,3,0.0,6,0.0,3,0.0,5,0.0,3,0.0,4,0.0,3,0.0,3,N/A,N/A,N/A,N/A
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,7.0,7.0,8.0,,7.0,8.0,8.0,,7.0,7.0,8.0,,9.0,9.0,10.0,,9.0,9.0,9.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,22.0,3,7.333333333333333,3,23.0,3,7.666666666666667,5,22.0,3,7.333333333333333,4,28.0,3,9.333333333333334,2,27.0,3,9.0,1,0.0,3,0.0,6,0.0,3,0.0,6,0.0,3,0.0,5,0.0,3,0.0,4,0.0,3,0.0,3,N/A,N/A,N/A,N/A
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,5.0,5.0,5.0,,7.0,7.0,7.0,,8.0,9.0,8.0,,6.0,7.0,7.0,,8.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,15.0,3,5.0,10,21.0,3,7.0,7,25.0,3,8.333333333333334,3,20.0,3,6.666666666666667,8,24.0,3,8.0,6,0.0,3,0.0,6,0.0,3,0.0,6,0.0,3,0.0,5,0.0,3,0.0,4,0.0,3,0.0,3,N/A,N/A,N/A,N/A
Jerry Springer,Kym Johnson,TV Personality,,England,62,3,Eliminated Week 7,5,5.0,5.0,6.0,,7.0,6.0,6.0,,7.0,7.0,7.0,,7.0,7.0,8.0,,8.0,8.0,8.0,,7.0,6.0,5.0,,7.5,8.0,7.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,16.0,3,5.333333333333333,9,19.0,3,6.333333333333333,10,21.0,3,7.0,8,22.0,3,7.333333333333333,7,24.0,3,8.0,6,18.0,3,6.0,5,23.0,3,7.666666666666667,5,0.0,3,0.0,5,0.0,3,0.0,4,0.0,3,0.0,3,N/A,N/A,N/A,N/A
Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,Eliminated Week 1,11,5.0,4.0,3.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,12.0,3,4.0,11,0.0,3,0.0,11,0.0,3,0.0,10,0.0,3,0.0,9,0.0,3,0.0,8,0.0,3,0.0,6,0.0,3,0.0,6,0.0,3,0.0,5,0.0,3,0.0,4,0.0,3,0.0,3,N/A,N/A,N/A,N/A
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,Eliminated Week 7,6,6.0,5.0,6.0,,7.0,7.0,7.0,,7.0,6.0,7.0,,6.0,5.0,5.0,,6.0,6.0,6.0,,7.0,6.0,6.0,,7.5,7.5,7.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,17.0,3,5.666666666666667,8,21.0,3,7.0,6,20.0,3,6.666666666666667,9,16.0,3,5.333333333333333,7,18.0,3,6.0,6,19.0,3,6.333333333333333,7,22.5,3,7.5,5,0.0,3,0.0,6,0.0,3,0.0,5,0.0,3,0.0,4,N/A,N/A,N/A,N/A
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,Eliminated Week 9,4,7.0,7.0,7.0,,7.0,8.0,7.0,,8.0,8.0,8.0,,7.0,9.0,8.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,7.5,8.0,,9.5,10.0,9.5,,0.0,0.0,0.0,,,,,,21.0,3,7.0,3,22.0,3,7.333333333333333,5,24.0,3,8.0,1,24.0,3,8.0,3,24.0,3,8.0,4,24.0,3,8.0,4,27.0,3,9.0,3,23.5,3,7.833333333333333,4,29.0,3,9.666666666666666,4,0.0,3,0.0,4,N/A,N/A,N/A,N/A
Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,Eliminated Week 5,8,6.0,5.0,5.0,,6.0,6.0,6.0,,6.0,5.0,5.0,,6.0,4.0,5.0,,4.0,5.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,16.0,3,5.333333333333333,9,18.0,3,6.0,11,16.0,3,5.333333333333333,10,15.0,3,5.0,9,13.0,3,4.333333333333333,8,0.0,3,0.0,8,0.0,3,0.0,7,0.0,3,0.0,6,0.0,3,0.0,5,0.0,3,0.0,4,N/A,N/A,N/A,N/A
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3rd Place,3,7.0,8.0,8.0,,9.0,9.0,9.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,9.0,10.0,9.0,,9.0,9.0,10.0,,10.0,9.5,10.0,,9.0,8.5,9.0,,10.0,10.0,10.0,,9.6666,9.0,9.6666,,,,,,23.0,3,7.666666666666667,2,27.0,3,9.0,1,21.0,3,7.0,6,21.0,3,7.0,5,28.0,3,9.333333333333334,2,28.0,3,9.333333333333334,1,29.5,3,9.833333333333334,1,26.5,3,8.833333333333334,3,30.0,3,10.0,1,28.333200000000005,3,9.444400000000002,3,N/A,N/A,N/A,N/A
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1st Place,1,7.0,7.0,7.0,,8.0,9.0,9.0,,7.0,8.0,8.0,,9.0,8.0,9.0,,10.0,10.0,10.0,,9.0,9.0,10.0,,9.0,8.5,9.5,,10.0,9.0,10.0,,10.0,9.5,10.0,,9.6666,9.6666,10.0,,,,,,21.0,3,7.0,3,26.0,3,8.666666666666666,2,23.0,3,7.666666666666667,5,26.0,3,8.666666666666666,2,30.0,3,10.0,1,28.0,3,9.333333333333334,1,27.0,3,9.0,3,29.0,3,9.666666666666666,1,29.5,3,9.833333333333334,3,29.3332,3,9.777733333333334,1,N/A,N/A,N/A,N/A
Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,4,Eliminated Week 3,10,6.0,6.0,7.0,,6.0,7.0,7.0,,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,19.0,3,6.333333333333333,5,20.0,3,6.666666666666667,10,21.0,3,7.0,6,0.0,3,0.0,10,0.0,3,0.0,9,0.0,3,0.0,8,0.0,3,0.0,7,0.0,3,0.0,6,0.0,3,0.0,5,0.0,3,0.0,4,N/A,N/A,N/A,N/A
Paulina Porizkova,Alec Mazo,Model,,Czechoslovakia,41,4,Eliminated Week 2,11,6.0,6.0,7.0,,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,19.0,3,6.333333333333333,5,21.0,3,7.0,6,0.0,3,0.0,11,0.0,3,0.0,10,0.0,3,0.0,9,0.0,3,0.0,8,0.0,3,0.0,7,0.0,3,0.0,6,0.0,3,0.0,5,0.0,3,0.0,4,N/A,N/A,N/A,N/A
Heather Mills,Jonathan Roberts,Model,,England,39,4,Eliminated Week 6,7,6.0,6.0,6.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,7.0,8.0,8.0,,7.0,7.0,7.0,,7.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,18.0,3,6.0,7,24.0,3,8.0,3,24.0,3,8.0,1,23.0,3,7.666666666666667,4,21.0,3,7.0,5,23.0,3,7.666666666666667,5,0.0,3,0.0,7,0.0,3,0.0,6,0.0,3,0.0,5,0.0,3,0.0,4,N/A,N/A,N/A,N/A
Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,4,Eliminated Week 8,5,5.0,4.0,4.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,6.0,6.0,5.0,,7.0,7.0,7.0,,6.0,6.5,6.5,,6.5,6.5,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,13.0,3,4.333333333333333,11,21.0,3,7.0,6,21.0,3,7.0,6,21.0,3,7.0,5,17.0,3,5.666666666666667,7,21.0,3,7.0,6,19.0,3,6.333333333333333,6,19.0,3,6.333333333333333,5,0.0,3,0.0,5,0.0,3,0.0,4,N/A,N/A,N/A,N/A
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,4,2nd Place,2,8.0,8.0,8.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,10.0,9.0,9.0,,8.0,8.0,9.0,,9.0,9.0,9.0,,10.0,9.5,10.0,,9.5,9.0,9.0,,10.0,10.0,10.0,,9.6666,9.3333,9.6666,,,,,,24.0,3,8.0,1,24.0,3,8.0,3,24.0,3,8.0,1,28.0,3,9.333333333333334,1,25.0,3,8.333333333333334,3,27.0,3,9.0,3,29.5,3,9.833333333333334,1,27.5,3,9.166666666666666,2,30.0,3,10.0,1,28.6665,3,9.5555,2,N/A,N/A,N/A,N/A
