season,week,n_to_eliminate,actual_eliminated,predicted_eliminated,prediction_status,correct_count,total_eliminated_actual,actual_eliminated_list,predicted_eliminated_list,roster_size,actual_survivors_count,predicted_survivors_count,intersection_count,survival_accuracy
5,8,1,Cameron Mathison,Cameron Mathison,1/1,1,1,['Cameron Mathison'],['Cameron Mathison'],5,4,4,4,1.0
5,9,1,Jennie Garth,Marie Osmond,0/1,0,1,['Jennie Garth'],['Marie Osmond'],4,3,3,2,0.6666666666666666
6,2,2,"Monica Seles, Penn Jillette","Monica Seles, Steve Guttenberg",1/2,1,2,"['Monica Seles', 'Penn Jillette']","['Monica Seles', 'Steve Guttenberg']",12,10,10,9,0.9
6,3,1,Steve Guttenberg,Marissa Jaret Winokur,0/1,0,1,['Steve Guttenberg'],['Marissa Jaret Winokur'],10,9,9,8,0.8888888888888888
6,4,1,Adam Carolla,Adam Carolla,1/1,1,1,['Adam Carolla'],['Adam Carolla'],9,8,8,8,1.0
6,5,1,Priscilla Presley,Priscilla Presley,1/1,1,1,['Priscilla Presley'],['Priscilla Presley'],8,7,7,7,1.0
6,6,1,Marlee Matlin,Marlee Matlin,1/1,1,1,['Marlee Matlin'],['Marlee Matlin'],7,6,6,6,1.0
6,7,1,Shannon Elizabeth,Cristian de la Fuente,0/1,0,1,['Shannon Elizabeth'],['Cristian de la Fuente'],6,5,5,4,0.8
6,8,1,Mario,Marissa Jaret Winokur,0/1,0,1,['Mario'],['Marissa Jaret Winokur'],5,4,4,3,0.75
6,9,1,Marissa Jaret Winokur,Marissa Jaret Winokur,1/1,1,1,['Marissa Jaret Winokur'],['Marissa Jaret Winokur'],4,3,3,3,1.0
7,1,2,"Jeffrey Ross, Ted McGinley","Jeffrey Ross, Cloris Leachman",1/2,1,2,"['Jeffrey Ross', 'Ted McGinley']","['Jeffrey Ross', 'Cloris Leachman']",13,11,11,10,0.9090909090909091
7,2,2,"Kim Kardashian, Misty May-Treanor","Cloris Leachman, Rocco DiSpirito",0/2,0,2,"['Kim Kardashian', 'Misty May-Treanor']","['Cloris Leachman', 'Rocco DiSpirito']",11,9,9,7,0.7777777777777778
7,4,1,Rocco DiSpirito,Rocco DiSpirito,1/1,1,1,['Rocco DiSpirito'],['Rocco DiSpirito'],9,8,8,8,1.0
7,5,1,Toni Braxton,Cloris Leachman,0/1,0,1,['Toni Braxton'],['Cloris Leachman'],8,7,7,6,0.8571428571428571
7,6,1,Cloris Leachman,Cloris Leachman,1/1,1,1,['Cloris Leachman'],['Cloris Leachman'],7,6,6,6,1.0
7,7,1,Susan Lucci,Cody Linley,0/1,0,1,['Susan Lucci'],['Cody Linley'],6,5,5,4,0.8
7,8,1,Maurice Greene,Maurice Greene,1/1,1,1,['Maurice Greene'],['Maurice Greene'],5,4,4,4,1.0
7,9,1,Cody Linley,Cody Linley,1/1,1,1,['Cody Linley'],['Cody Linley'],4,3,3,3,1.0
8,2,1,Belinda Carlisle,Steve-O,0/1,0,1,['Belinda Carlisle'],['Steve-O'],13,12,12,11,0.9166666666666666
8,3,1,Denise Richards,Steve Wozniak,0/1,0,1,['Denise Richards'],['Steve Wozniak'],12,11,11,10,0.9090909090909091
8,4,2,"Steve Wozniak, Holly Madison","Steve Wozniak, Steve-O",1/2,1,2,"['Steve Wozniak', 'Holly Madison']","['Steve Wozniak', 'Steve-O']",11,9,9,8,0.8888888888888888
8,5,1,David Alan Grier,Steve-O,0/1,0,1,['David Alan Grier'],['Steve-O'],9,8,8,7,0.875
8,6,1,Steve-O,Steve-O,1/1,1,1,['Steve-O'],['Steve-O'],8,7,7,7,1.0
8,7,1,Lawrence Taylor,Lawrence Taylor,1/1,1,1,['Lawrence Taylor'],['Lawrence Taylor'],7,6,6,6,1.0
8,8,1,Chuck Wicks,Melissa Rycroft,0/1,0,1,['Chuck Wicks'],['Melissa Rycroft'],6,5,5,4,0.8
8,9,1,Lil' Kim,Ty Murray,0/1,0,1,"[""Lil' Kim""]",['Ty Murray'],5,4,4,3,0.75
8,10,1,Ty Murray,Ty Murray,1/1,1,1,['Ty Murray'],['Ty Murray'],4,3,3,3,1.0
9,1,2,"Ashley Hamiliton, Macy Gray","Ashley Hamiliton, Macy Gray",2/2,2,2,"['Ashley Hamiliton', 'Macy Gray']","['Ashley Hamiliton', 'Macy Gray']",16,14,14,14,1.0
9,2,1,Kathy Ireland,Tom DeLay,0/1,0,1,['Kathy Ireland'],['Tom DeLay'],14,13,13,12,0.9230769230769231
9,3,2,"Tom DeLay, Debi Mazar","Michael Irvin, Tom DeLay",1/2,1,2,"['Tom DeLay', 'Debi Mazar']","['Michael Irvin', 'Tom DeLay']",13,11,11,10,0.9090909090909091
9,4,1,Chuck Liddell,Louie Vito,0/1,0,1,['Chuck Liddell'],['Louie Vito'],11,10,10,9,0.9
9,5,1,Natalie Coughlin,Michael Irvin,0/1,0,1,['Natalie Coughlin'],['Michael Irvin'],10,9,9,8,0.8888888888888888
9,6,2,"Melissa Joan Hart, Louie Vito","Michael Irvin, Melissa Joan Hart",1/2,1,2,"['Melissa Joan Hart', 'Louie Vito']","['Michael Irvin', 'Melissa Joan Hart']",9,7,7,6,0.8571428571428571
9,7,2,"Mark Dacascos, Michael Irvin","Mark Dacascos, Michael Irvin",2/2,2,2,"['Mark Dacascos', 'Michael Irvin']","['Mark Dacascos', 'Michael Irvin']",7,5,5,5,1.0
9,8,1,Aaron Carter,Aaron Carter,1/1,1,1,['Aaron Carter'],['Aaron Carter'],5,4,4,4,1.0
9,9,1,Joanna Krupa,Donny Osmond,0/1,0,1,['Joanna Krupa'],['Donny Osmond'],4,3,3,2,0.6666666666666666
10,2,1,Shannen Doherty,Buzz Aldrin,0/1,0,1,['Shannen Doherty'],['Buzz Aldrin'],11,10,10,9,0.9
10,3,1,Buzz Aldrin,Buzz Aldrin,1/1,1,1,['Buzz Aldrin'],['Buzz Aldrin'],10,9,9,9,1.0
10,4,1,Aiden Turner,Kate Gosselin,0/1,0,1,['Aiden Turner'],['Kate Gosselin'],9,8,8,7,0.875
10,5,1,Kate Gosselin,Kate Gosselin,1/1,1,1,['Kate Gosselin'],['Kate Gosselin'],8,7,7,7,1.0
10,6,1,Jake Pavelka,Jake Pavelka,1/1,1,1,['Jake Pavelka'],['Jake Pavelka'],7,6,6,6,1.0
10,7,1,Pamela Anderson,Niecy Nash,0/1,0,1,['Pamela Anderson'],['Niecy Nash'],6,5,5,4,0.8
10,8,1,Niecy Nash,Niecy Nash,1/1,1,1,['Niecy Nash'],['Niecy Nash'],5,4,4,4,1.0
10,9,1,Chad Ochocinco,Chad Ochocinco,1/1,1,1,['Chad Ochocinco'],['Chad Ochocinco'],4,3,3,3,1.0
11,1,1,David Hasselhoff,David Hasselhoff,1/1,1,1,['David Hasselhoff'],['David Hasselhoff'],12,11,11,11,1.0
11,2,1,Michael Bolton,Michael Bolton,1/1,1,1,['Michael Bolton'],['Michael Bolton'],11,10,10,10,1.0
11,3,1,Margaret Cho,Margaret Cho,1/1,1,1,['Margaret Cho'],['Margaret Cho'],10,9,9,9,1.0
11,4,1,The Situation,The Situation,1/1,1,1,['The Situation'],['The Situation'],9,8,8,8,1.0
11,5,1,Florence Henderson,Bristol Palin,0/1,0,1,['Florence Henderson'],['Bristol Palin'],8,7,7,6,0.8571428571428571
11,6,1,Audrina Patridge,Kurt Warner,0/1,0,1,['Audrina Patridge'],['Kurt Warner'],7,6,6,5,0.8333333333333334
11,7,1,Rick Fox,Rick Fox,1/1,1,1,['Rick Fox'],['Rick Fox'],6,5,5,5,1.0
11,8,1,Kurt Warner,Kurt Warner,1/1,1,1,['Kurt Warner'],['Kurt Warner'],5,4,4,4,1.0
11,9,1,Brandy,Brandy,1/1,1,1,['Brandy'],['Brandy'],4,3,3,3,1.0
12,2,1,Mike Catherwood,Mike Catherwood,1/1,1,1,['Mike Catherwood'],['Mike Catherwood'],11,10,10,10,1.0
12,3,1,Wendy Williams,Wendy Williams,1/1,1,1,['Wendy Williams'],['Wendy Williams'],10,9,9,9,1.0
12,4,1,Sugar Ray Leonard,Kendra Wilkinson,0/1,0,1,['Sugar Ray Leonard'],['Kendra Wilkinson'],9,8,8,7,0.875
12,5,1,Petra Nemcova,Petra Nemcova,1/1,1,1,['Petra Nemcova'],['Petra Nemcova'],8,7,7,7,1.0
12,6,1,Chris Jericho,Chris Jericho,1/1,1,1,['Chris Jericho'],['Chris Jericho'],7,6,6,6,1.0
12,7,1,Kendra Wilkinson,Romeo,0/1,0,1,['Kendra Wilkinson'],['Romeo'],6,5,5,4,0.8
12,8,1,Romeo,Ralph Macchio,0/1,0,1,['Romeo'],['Ralph Macchio'],5,4,4,3,0.75
12,9,1,Ralph Macchio,Ralph Macchio,1/1,1,1,['Ralph Macchio'],['Ralph Macchio'],4,3,3,3,1.0
13,1,1,Metta World Peace (Ron),Metta World Peace (Ron),1/1,1,1,['Metta World Peace (Ron)'],['Metta World Peace (Ron)'],12,11,11,11,1.0
13,2,1,Elisabetta Canalis,Chaz Bono,0/1,0,1,['Elisabetta Canalis'],['Chaz Bono'],11,10,10,9,0.9
13,3,1,Kristin Cavallari,Chaz Bono,0/1,0,1,['Kristin Cavallari'],['Chaz Bono'],10,9,9,8,0.8888888888888888
13,4,1,Chynna Phillips,Carson Kressley,0/1,0,1,['Chynna Phillips'],['Carson Kressley'],9,8,8,7,0.875
13,5,1,Carson Kressley,Carson Kressley,1/1,1,1,['Carson Kressley'],['Carson Kressley'],8,7,7,7,1.0
13,6,1,Chaz Bono,Chaz Bono,1/1,1,1,['Chaz Bono'],['Chaz Bono'],7,6,6,6,1.0
13,7,1,David Arquette,Nancy Grace,0/1,0,1,['David Arquette'],['Nancy Grace'],6,5,5,4,0.8
13,8,1,Nancy Grace,Nancy Grace,1/1,1,1,['Nancy Grace'],['Nancy Grace'],5,4,4,4,1.0
13,9,1,Hope Solo,Hope Solo,1/1,1,1,['Hope Solo'],['Hope Solo'],4,3,3,3,1.0
14,2,1,Martina Navratilova,Martina Navratilova,1/1,1,1,['Martina Navratilova'],['Martina Navratilova'],12,11,11,11,1.0
14,3,1,Jack Wagner,Gavin DeGraw,0/1,0,1,['Jack Wagner'],['Gavin DeGraw'],11,10,10,9,0.9
14,4,1,Sherri Sheperd,Gladys Knight,0/1,0,1,['Sherri Sheperd'],['Gladys Knight'],10,9,9,8,0.8888888888888888
14,5,1,Gavin DeGraw,Gavin DeGraw,1/1,1,1,['Gavin DeGraw'],['Gavin DeGraw'],9,8,8,8,1.0
14,6,1,Gladys Knight,Gladys Knight,1/1,1,1,['Gladys Knight'],['Gladys Knight'],8,7,7,7,1.0
14,7,1,Jaleel White,Melissa Gilbert,0/1,0,1,['Jaleel White'],['Melissa Gilbert'],7,6,6,5,0.8333333333333334
14,8,2,"Melissa Gilbert, Roshon Fegan","Melissa Gilbert, Maria Menounos",1/2,1,2,"['Melissa Gilbert', 'Roshon Fegan']","['Melissa Gilbert', 'Maria Menounos']",6,4,4,3,0.75
14,9,1,Maria Menounos,Katherine Jenkins,0/1,0,1,['Maria Menounos'],['Katherine Jenkins'],4,3,3,2,0.6666666666666666
15,1,1,Pamela Anderson,Pamela Anderson,1/1,1,1,['Pamela Anderson'],['Pamela Anderson'],13,12,12,12,1.0
15,2,1,Joey Fatone,Bristol Palin,0/1,0,1,['Joey Fatone'],['Bristol Palin'],12,11,11,10,0.9090909090909091
15,3,2,"Drew Lachey, Helio Castroneves","Bristol Palin, Drew Lachey",1/2,1,2,"['Drew Lachey', 'Helio Castroneves']","['Bristol Palin', 'Drew Lachey']",11,9,9,8,0.8888888888888888
15,4,1,Bristol Palin,Kirstie Alley,0/1,0,1,['Bristol Palin'],['Kirstie Alley'],9,8,8,7,0.875
15,6,1,Sabrina Bryan,Emmitt Smith,0/1,0,1,['Sabrina Bryan'],['Emmitt Smith'],8,7,7,6,0.8571428571428571
15,8,2,"Kirstie Alley, Gilles Marini","Kirstie Alley, Shawn Johnson",1/2,1,2,"['Kirstie Alley', 'Gilles Marini']","['Kirstie Alley', 'Shawn Johnson']",7,5,5,4,0.8
15,9,2,"Emmitt Smith, Apolo Anton Ohno","Emmitt Smith, Kelly Monaco",1/2,1,2,"['Emmitt Smith', 'Apolo Anton Ohno']","['Emmitt Smith', 'Kelly Monaco']",5,3,3,2,0.6666666666666666
16,2,1,Dorothy Hamill,Dorothy Hamill,1/1,1,1,['Dorothy Hamill'],['Dorothy Hamill'],12,11,11,11,1.0
16,3,1,Wynonna Judd,Wynonna Judd,1/1,1,1,['Wynonna Judd'],['Wynonna Judd'],11,10,10,10,1.0
16,4,1,Lisa Vanderpump,Victor Ortiz,0/1,0,1,['Lisa Vanderpump'],['Victor Ortiz'],10,9,9,8,0.8888888888888888
16,5,1,D. L. Hughley,D. L. Hughley,1/1,1,1,['D. L. Hughley'],['D. L. Hughley'],9,8,8,8,1.0
16,6,1,Victor Ortiz,Victor Ortiz,1/1,1,1,['Victor Ortiz'],['Victor Ortiz'],8,7,7,7,1.0
16,7,1,Andy Dick,Andy Dick,1/1,1,1,['Andy Dick'],['Andy Dick'],7,6,6,6,1.0
16,8,1,Sean Lowe,Sean Lowe,1/1,1,1,['Sean Lowe'],['Sean Lowe'],6,5,5,5,1.0
16,9,1,Ingo Rademacher,Ingo Rademacher,1/1,1,1,['Ingo Rademacher'],['Ingo Rademacher'],5,4,4,4,1.0
17,2,1,Keyshawn Johnson,Bill Nye,0/1,0,1,['Keyshawn Johnson'],['Bill Nye'],12,11,11,10,0.9090909090909091
17,3,1,Bill Nye,Bill Nye,1/1,1,1,['Bill Nye'],['Bill Nye'],11,10,10,10,1.0
17,4,1,Valerie Harper,Valerie Harper,1/1,1,1,['Valerie Harper'],['Valerie Harper'],10,9,9,9,1.0
17,5,1,Christina Milian,Leah Remini,0/1,0,1,['Christina Milian'],['Leah Remini'],9,8,8,7,0.875
17,7,1,"Nicole ""Snooki"" Polizzi",Bill Engvall,0/1,0,1,"['Nicole ""Snooki"" Polizzi']",['Bill Engvall'],8,7,7,6,0.8571428571428571
17,8,1,Brant Daugherty,Elizabeth Berkley Lauren,0/1,0,1,['Brant Daugherty'],['Elizabeth Berkley Lauren'],7,6,6,5,0.8333333333333334
17,9,1,Elizabeth Berkley Lauren,Bill Engvall,0/1,0,1,['Elizabeth Berkley Lauren'],['Bill Engvall'],6,5,5,4,0.8
17,10,1,Leah Remini,Bill Engvall,0/1,0,1,['Leah Remini'],['Bill Engvall'],5,4,4,3,0.75
18,1,1,Diana Nyad,Billy Dee Williams,0/1,0,1,['Diana Nyad'],['Billy Dee Williams'],12,11,11,10,0.9090909090909091
18,2,2,"Billy Dee Williams, Sean Avery","Billy Dee Williams, Sean Avery",2/2,2,2,"['Billy Dee Williams', 'Sean Avery']","['Billy Dee Williams', 'Sean Avery']",11,9,9,9,1.0
18,5,1,Cody Simpson,Drew Carey,0/1,0,1,['Cody Simpson'],['Drew Carey'],9,8,8,7,0.875
18,6,1,Drew Carey,Drew Carey,1/1,1,1,['Drew Carey'],['Drew Carey'],8,7,7,7,1.0
18,7,1,NeNe Leakes,NeNe Leakes,1/1,1,1,['NeNe Leakes'],['NeNe Leakes'],7,6,6,6,1.0
18,8,1,Danica McKellar,James Maslow,0/1,0,1,['Danica McKellar'],['James Maslow'],6,5,5,4,0.8
18,9,1,Charlie White,Charlie White,1/1,1,1,['Charlie White'],['Charlie White'],5,4,4,4,1.0
19,1,1,Lolo Jones,Betsey Johnson,0/1,0,1,['Lolo Jones'],['Betsey Johnson'],13,12,12,11,0.9166666666666666
19,2,1,Tavis Smiley,Michael Waltrip,0/1,0,1,['Tavis Smiley'],['Michael Waltrip'],12,11,11,10,0.9090909090909091
19,3,1,Randy Couture,Randy Couture,1/1,1,1,['Randy Couture'],['Randy Couture'],11,10,10,10,1.0
19,4,1,Betsey Johnson,Jonathan Bennett,0/1,0,1,['Betsey Johnson'],['Jonathan Bennett'],10,9,9,8,0.8888888888888888
19,6,1,Jonathan Bennett,Antonio Sabato Jr.,0/1,0,1,['Jonathan Bennett'],['Antonio Sabato Jr.'],9,8,8,7,0.875
19,7,1,Antonio Sabato Jr.,Michael Waltrip,0/1,0,1,['Antonio Sabato Jr.'],['Michael Waltrip'],8,7,7,6,0.8571428571428571
19,8,1,Michael Waltrip,Michael Waltrip,1/1,1,1,['Michael Waltrip'],['Michael Waltrip'],7,6,6,6,1.0
19,9,1,Lea Thompson,Tommy Chong,0/1,0,1,['Lea Thompson'],['Tommy Chong'],6,5,5,4,0.8
19,10,1,Tommy Chong,Tommy Chong,1/1,1,1,['Tommy Chong'],['Tommy Chong'],5,4,4,4,1.0
20,2,1,Redfoo,Chris Soules,0/1,0,1,['Redfoo'],['Chris Soules'],12,11,11,10,0.9090909090909091
20,3,1,Charlotte McKinney,Charlotte McKinney,1/1,1,1,['Charlotte McKinney'],['Charlotte McKinney'],11,10,10,10,1.0
20,4,1,Michael Sam,Chris Soules,0/1,0,1,['Michael Sam'],['Chris Soules'],10,9,9,8,0.8888888888888888
20,5,1,Suzanne Somers,Robert Herjavec,0/1,0,1,['Suzanne Somers'],['Robert Herjavec'],9,8,8,7,0.875
20,6,1,Patti LaBelle,Patti LaBelle,1/1,1,1,['Patti LaBelle'],['Patti LaBelle'],8,7,7,7,1.0
20,7,1,Willow Shields,Chris Soules,0/1,0,1,['Willow Shields'],['Chris Soules'],7,6,6,5,0.8333333333333334
20,8,2,"Robert Herjavec, Chris Soules","Robert Herjavec, Chris Soules",2/2,2,2,"['Robert Herjavec', 'Chris Soules']","['Robert Herjavec', 'Chris Soules']",6,4,4,4,1.0
20,9,1,Nastia Liukin,Noah Galloway,0/1,0,1,['Nastia Liukin'],['Noah Galloway'],4,3,3,2,0.6666666666666666
21,2,3,"Chaka Khan, Kim Zolciak-Biermann, Victor Espinoza","Chaka Khan, Gary Busey, Paula Deen",1/3,1,3,"['Chaka Khan', 'Kim Zolciak-Biermann', 'Victor Espinoza']","['Chaka Khan', 'Gary Busey', 'Paula Deen']",13,10,10,8,0.8
21,4,1,Gary Busey,Gary Busey,1/1,1,1,['Gary Busey'],['Gary Busey'],10,9,9,9,1.0
21,6,1,Paula Deen,Paula Deen,1/1,1,1,['Paula Deen'],['Paula Deen'],9,8,8,8,1.0
21,7,1,Hayes Grier,Tamar Braxton,0/1,0,1,['Hayes Grier'],['Tamar Braxton'],8,7,7,6,0.8571428571428571
21,8,1,Andy Grammer,Andy Grammer,1/1,1,1,['Andy Grammer'],['Andy Grammer'],7,6,6,6,1.0
21,9,2,"Tamar Braxton, Alexa PenaVega","Tamar Braxton, Carlos PenaVega",1/2,1,2,"['Tamar Braxton', 'Alexa PenaVega']","['Tamar Braxton', 'Carlos PenaVega']",6,4,4,3,0.75
22,2,1,Geraldo Rivera,Geraldo Rivera,1/1,1,1,['Geraldo Rivera'],['Geraldo Rivera'],12,11,11,11,1.0
22,3,1,Mischa Barton,Mischa Barton,1/1,1,1,['Mischa Barton'],['Mischa Barton'],11,10,10,10,1.0
22,4,1,Marla Maples,Doug Flutie,0/1,0,1,['Marla Maples'],['Doug Flutie'],10,9,9,8,0.8888888888888888
22,6,1,Doug Flutie,Doug Flutie,1/1,1,1,['Doug Flutie'],['Doug Flutie'],9,8,8,8,1.0
22,7,2,"Von Miller, Kim Fields","Jodie Sweetin, Von Miller",1/2,1,2,"['Von Miller', 'Kim Fields']","['Jodie Sweetin', 'Von Miller']",8,6,6,5,0.8333333333333334
22,8,1,Jodie Sweetin,Wanya Morris,0/1,0,1,['Jodie Sweetin'],['Wanya Morris'],6,5,5,4,0.8
22,9,2,"Antonio Brown, Wanya Morris","Antonio Brown, Ginger Zee",1/2,1,2,"['Antonio Brown', 'Wanya Morris']","['Antonio Brown', 'Ginger Zee']",5,3,3,2,0.6666666666666666
23,2,1,Jake T. Austin,Rick Perry,0/1,0,1,['Jake T. Austin'],['Rick Perry'],13,12,12,11,0.9166666666666666
23,3,1,Rick Perry,Vanilla Ice,0/1,0,1,['Rick Perry'],['Vanilla Ice'],12,11,11,10,0.9090909090909091
23,4,2,"Babyface, Vanilla Ice","Babyface, Ryan Lochte",1/2,1,2,"['Babyface', 'Vanilla Ice']","['Babyface', 'Ryan Lochte']",11,9,9,8,0.8888888888888888
23,6,1,Amber Rose,Amber Rose,1/1,1,1,['Amber Rose'],['Amber Rose'],9,8,8,8,1.0
23,7,1,Maureen McCormick,Ryan Lochte,0/1,0,1,['Maureen McCormick'],['Ryan Lochte'],8,7,7,6,0.8571428571428571
23,8,1,Ryan Lochte,Terra Jole,0/1,0,1,['Ryan Lochte'],['Terra Jole'],7,6,6,5,0.8333333333333334
23,9,1,Marilu Henner,Marilu Henner,1/1,1,1,['Marilu Henner'],['Marilu Henner'],6,5,5,5,1.0
23,10,1,Terra Jole,Calvin Johnson Jr.,0/1,0,1,['Terra Jole'],['Calvin Johnson Jr.'],5,4,4,3,0.75
24,2,1,Chris Kattan,Chris Kattan,1/1,1,1,['Chris Kattan'],['Chris Kattan'],12,11,11,11,1.0
24,3,1,Charo,Charo,1/1,1,1,['Charo'],['Charo'],11,10,10,10,1.0
24,4,1,Mr. T,Mr. T,1/1,1,1,['Mr. T'],['Mr. T'],10,9,9,9,1.0
24,5,1,Erika Jayne,Bonner Bolton,0/1,0,1,['Erika Jayne'],['Bonner Bolton'],9,8,8,7,0.875
24,6,1,Heather Morris,Nick Viall,0/1,0,1,['Heather Morris'],['Nick Viall'],8,7,7,6,0.8571428571428571
24,7,2,"Nick Viall, Nancy Kerrigan","Bonner Bolton, Nick Viall",1/2,1,2,"['Nick Viall', 'Nancy Kerrigan']","['Bonner Bolton', 'Nick Viall']",7,5,5,4,0.8
24,8,1,Bonner Bolton,Bonner Bolton,1/1,1,1,['Bonner Bolton'],['Bonner Bolton'],5,4,4,4,1.0
24,9,1,Simone Biles,David Ross,0/1,0,1,['Simone Biles'],['David Ross'],4,3,3,2,0.6666666666666666
25,2,2,"Barbara Corcoran, Debbie Gibson","Barbara Corcoran, Derek Fisher",1/2,1,2,"['Barbara Corcoran', 'Debbie Gibson']","['Barbara Corcoran', 'Derek Fisher']",13,11,11,10,0.9090909090909091
25,4,1,Derek Fisher,Nick Lachey,0/1,0,1,['Derek Fisher'],['Nick Lachey'],11,10,10,9,0.9
25,5,1,Sasha Pieterse,Nick Lachey,0/1,0,1,['Sasha Pieterse'],['Nick Lachey'],10,9,9,8,0.8888888888888888
25,6,1,Nick Lachey,Nick Lachey,1/1,1,1,['Nick Lachey'],['Nick Lachey'],9,8,8,8,1.0
25,7,2,"Nikki Bella, Vanessa Lachey","Nikki Bella, Terrell Owens",1/2,1,2,"['Nikki Bella', 'Vanessa Lachey']","['Nikki Bella', 'Terrell Owens']",8,6,6,5,0.8333333333333334
25,8,1,Terrell Owens,Drew Scott,0/1,0,1,['Terrell Owens'],['Drew Scott'],6,5,5,4,0.8
25,9,1,Victoria Arlen,Drew Scott,0/1,0,1,['Victoria Arlen'],['Drew Scott'],5,4,4,3,0.75
